"","."
"1","sim_newsweek-us_1947-01-20_29_3"
"2","sim_newsweek-us_1947-02-03_29_5"
"3","sim_newsweek-us_1947-03-31_29_13"
"4","sim_newsweek-us_1947-04-14_29_15"
"5","sim_newsweek-us_1947-05-19_29_20"
"6","sim_newsweek-us_1947-06-09_29_23"
"7","sim_newsweek-us_1947-07-14_30_2"
"8","sim_newsweek-us_1947-08-25_30_8"
"9","sim_newsweek-us_1947-09-22_30_12"
"10","sim_newsweek-us_1947-10-27_30_17"
"11","sim_newsweek-us_1947-11-17_30_20"
"12","sim_newsweek-us_1947-12-15_30_24"
"13","sim_newsweek-us_1949-01-24_33_4"
"14","sim_newsweek-us_1949-02-14_33_7"
"15","sim_newsweek-us_1949-03-14_33_11"
"16","sim_newsweek-us_1949-04-18_33_16"
"17","sim_newsweek-us_1949-05-09_33_19"
"18","sim_newsweek-us_1949-06-27_33_26"
"19","sim_newsweek-us_1949-07-18_34_3"
"20","sim_newsweek-us_1949-08-01_34_5"
"21","sim_newsweek-us_1949-09-19_34_12"
"22","sim_newsweek-us_1949-10-24_34_17"
"23","sim_newsweek-us_1949-11-21_34_21"
"24","sim_newsweek-us_1949-12-12_34_24"
"25","sim_newsweek-us_1950-01-02_35_1"
"26","sim_newsweek-us_1950-02-06_35_6"
"27","sim_newsweek-us_1950-03-06_35_10"
"28","sim_newsweek-us_1950-04-17_35_16"
"29","sim_newsweek-us_1950-05-01_35_18"
"30","sim_newsweek-us_1950-06-19_35_25"
"31","sim_newsweek-us_1950-07-31_36_5"
"32","sim_newsweek-us_1950-08-21_36_8"
"33","sim_newsweek-us_1950-09-25_36_13"
"34","sim_newsweek-us_1950-10-23_36_17"
"35","sim_newsweek-us_1950-11-27_36_22"
"36","sim_newsweek-us_1950-12-11_36_24"
"37","sim_newsweek-us_1951-01-01_37_1"
"38","sim_newsweek-us_1951-02-26_37_9"
"39","sim_newsweek-us_1951-03-26_37_13"
"40","sim_newsweek-us_1951-04-09_37_15"
"41","sim_newsweek-us_1951-05-14_37_20"
"42","sim_newsweek-us_1951-06-11_37_24"
"43","sim_newsweek-us_1951-07-16_38_3"
"44","sim_newsweek-us_1951-08-13_38_7"
"45","sim_newsweek-us_1951-09-24_38_13"
"46","sim_newsweek-us_1951-10-22_38_17"
"47","sim_newsweek-us_1951-11-26_38_22"
"48","sim_newsweek-us_1951-12-24_38_26"
"49","sim_newsweek-us_1949_34_index"
