new_filename,category,explanation,,
1956-01-18_166873052_1_page0.txt,politics,4 mentions of voting and election outcomes,,
1956-01-19_166874249_1_page0.txt,other,,,
1956-01-04_166874618_1_page0.txt,other,,,
1956-01-10_166876075_1_page0.txt,other,,,
1956-01-31_166876244_1_page0.txt,politics,9 mentions of elections campaigns and candidates,,
1956-02-10_166881514_1_page0.txt,politics,4 mentions of nominations primaries and candidates,,
1956-01-27_166884915_1_page0.txt,politics,10 mentions of elections votes and campaigns,,
1956-02-02_166888107_1_page0.txt,other,,,
1956-03-01_166888260_1_page0.txt,other,,,
1956-03-15_166889978_1_page0.txt,politics,4 mentions of candidates nominations and votes,,
new_filename,category,explanation,,
1956-03-16_166891660_1_page0.txt,politics,"4 mentions of campaigns, candidates, and voting",,
1956-02-16_166896688_1_page0.txt,other,,,
1956-01-05_166899746_1_page0.txt,other,,,
1956-03-26_166904773_1_page0.txt,politics,"3 mentions of campaigns, candidates, and votes",,
1956-03-07_166905237_1_page0.txt,politics,"5 mentions of candidates, polling, and voting",,
1956-02-21_166906514_1_page0.txt,politics,"4 mentions of candidates, running, and reelection",,
1956-02-07_166907655_1_page0.txt,other,,,
1956-03-29_166909981_1_page0.txt,politics,"4 mentions of election, votes, and candidates",,
1956-04-17_166910108_1_page0.txt,other,,,
1956-02-28_166911519_1_page0.txt,other,,,
new_filename,category,explanation,,
1956-01-13_166912641_1_page0.txt,politics,4 mentions of primaries, voting, and candidates
1956-05-08_166912917_1_page0.txt,other,,,
1956-04-13_166915845_1_page0.txt,politics,5 mentions of campaigns, primaries, and candidates
1956-03-09_166917090_1_page0.txt,politics,4 mentions of nominations, running, and polls
1956-05-15_166921781_1_page0.txt,other,,,
1956-02-17_166922034_1_page0.txt,other,,,
1956-03-27_166923452_1_page0.txt,other,,,
1956-06-19_166927499_1_page0.txt,other,,,
1956-04-19_166931315_1_page0.txt,politics,6 mentions of votes, primaries, and candidates
1956-04-03_166935666_1_page0.txt,other,,,
new_filename,category,explanation,,
1956-04-25_166936535_1_page0.txt,other,,,
1956-06-26_166936987_1_page0.txt,politics,5 mentions of candidates and convention,,
1956-03-20_166937059_1_page0.txt,other,,,
1956-05-04_166942067_1_page0.txt,politics,3 mentions of elections, votes, and candidates
1956-05-29_166942378_1_page0.txt,other,,,
1956-06-14_166942731_1_page0.txt,politics,4 mentions of nominations, campaigns, and candidates
1956-04-10_166951384_1_page0.txt,other,,,
1956-05-24_166952012_1_page0.txt,other,,,
1956-06-06_166953689_1_page0.txt,politics,6 mentions of candidates, voting, and election
1956-05-31_166955164_1_page0.txt,other,,,
new_filename,category,explanation,,
1956-07-11_166959354_1_page0.txt,other,,,
1956-07-26_166959488_1_page0.txt,politics,"5 mentions of candidates, primary, and votes",,
1956-06-21_166961475_1_page0.txt,other,,,
1956-07-25_166961624_1_page0.txt,other,,,
1956-07-30_166962149_1_page0.txt,other,,,
1956-06-12_166965487_1_page0.txt,politics,"7 mentions of candidates, ticket, and votes",,
1956-08-14_166967202_1_page0.txt,politics,"5 mentions of candidates, nomination, and vote",,
1956-05-23_166967752_1_page0.txt,other,,,
1956-07-20_166968775_1_page0.txt,politics,"3 mentions of campaign, candidates, and voters",,
1956-05-18_166972318_1_page0.txt,politics,"5 mentions of campaigns, candidates, and voters",,
new_filename,category,explanation,,
1956-08-17_166972775_1_page0.txt,politics,"5 mentions of polling, candidates, and elections",,
1956-06-07_166972889_1_page0.txt,other,,,
1956-07-05_166973311_1_page0.txt,other,,,
