new_filename,category,explanation
1956-10-16_167027617_1_page0.txt,other,No mentions of voter turnout criteria
1956-08-20_167030467_1_page0.txt,other,No mentions of voter turnout criteria
1956-09-11_167036433_1_page0.txt,other,No mentions of voter turnout criteria
1956-10-20_167038525_1_page0.txt,other,No mentions of voter turnout criteria
1956-10-18_167040314_1_page0.txt,other,No mentions of voter turnout criteria
1956-12-20_167045451_1_page0.txt,VOTER TURNOUT,`4 mentions of barriers to voting or voter access issues`
1956-10-13_167046648_1_page0.txt,VOTER TURNOUT,`3 mentions of voter turnout or get-out-the-vote efforts`
1956-12-30_167046802_1_page0.txt,other,No mentions of voter turnout criteria
1956-12-18_167049731_1_page0.txt,other,No mentions of voter turnout criteria
1956-11-13_167052081_1_page0.txt,other,No mentions of voter turnout criteria
