new_filename,category,explanation
1954-07-27_166655354_1_page0.txt,other,No categories met the 3-mention threshold.
1954-07-20_166655957_1_page0.txt,other,No categories met the 3-mention threshold.
1954-08-07_166656638_1_page0.txt,other,No categories met the 3-mention threshold.
1954-07-29_166656876_1_page0.txt,other,No categories met the 3-mention threshold.
1954-07-29_166657415_1_page0.txt,other,No categories met the 3-mention threshold.
1954-09-25_166659684_1_page0.txt,other,No categories met the 3-mention threshold.
1954-07-07_166660853_1_page0.txt,other,No categories met the 3-mention threshold.
1954-09-28_166661048_1_page0.txt,LABOR,Contains 3 references to labor leaders/bosses and AFL/CIO conventions.
1954-07-31_166662114_1_page0.txt,other,No categories met the 3-mention threshold.
1954-09-30_166662962_1_page0.txt,other,No categories met the 3-mention threshold.
