new_filename,category,explanation
1954-11-06_166695514_1_page0.txt,other,No categories met the 3-mention threshold.
1954-11-25_166696058_1_page0.txt,other,No categories met the 3-mention threshold.
1954-10-02_166696527_1_page0.txt,other,No categories met the 3-mention threshold.
1954-10-13_166698587_1_page0.txt,other,No categories met the 3-mention threshold.
1954-12-07_166702672_1_page0.txt,other,No categories met the 3-mention threshold.
1954-11-09_166703038_1_page0.txt,other,No categories met the 3-mention threshold.
1954-12-30_166705744_1_page0.txt,other,No categories met the 3-mention threshold.
1954-12-11_166705808_1_page0.txt,other,No categories met the 3-mention threshold.
1954-10-05_166705848_1_page0.txt,other,No categories met the 3-mention threshold.
1954-10-21_166707519_1_page0.txt,other,No categories met the 3-mention threshold.
1954-12-14_166707713_1_page0.txt,LABOR,Contains 3 references to labor and political action/union members.
1954-10-11_166709719_1_page0.txt,LABOR,Contains 3 references to trade unions/union leaders and Marxist/Socialist.
1954-12-28_166709813_1_page0.txt,other,No categories met the 3-mention threshold.
1954-11-19_166711100_1_page0.txt,LABOR,Contains 3 references to the UAW-CIO union/strikes and labor relations.
1954-11-02_166713308_1_page0.txt,other,No categories met the 3-mention threshold.
1954-12-09_166714121_1_page0.txt,other,No categories met the 3-mention threshold.
1954-12-02_166714949_1_page0.txt,other,No categories met the 3-mention threshold.
1954-11-24_166708026_1_page0.txt,other,No categories met the 3-mention threshold.
1954-12-03_166709485_1_page0.txt,other,No categories met the 3-mention threshold.
1954-12-28_166709813_1_page0.txt,other,No categories met the 3-mention threshold.
