new_filename,category,explanation
1954-01-05_166566213_1_page0.txt,other,No categories met the 3-mention threshold.
1954-01-21_166569673_1_page0.txt,other,No categories met the 3-mention threshold.
1953-11-03_166569916_1_page0.txt,other,No categories met the 3-mention threshold.
1954-01-09_166572023_1_page0.txt,other,No categories met the 3-mention threshold.
1954-01-01_166572423_1_page0.txt,other,No categories met the 3-mention threshold.
1953-12-08_166573372_1_page0.txt,other,No categories met the 3-mention threshold.
1954-02-23_166575982_1_page0.txt,other,No categories met the 3-mention threshold.
1954-02-18_166576648_1_page0.txt,other,No categories met the 3-mention threshold.
1954-02-09_166577901_1_page0.txt,other,No categories met the 3-mention threshold.
1954-02-02_166578172_1_page0.txt,other,No categories met the 3-mention threshold.
