new_filename,category,explanation
1953-02-05_166416019_1_page0.txt,LABOR,Contains 4 mentions of Taft-Hartley/union shop/labor relations.
1952-12-04_166417202_1_page0.txt,other,No categories met the 3-mention threshold.
1952-11-06_166419765_1_page0.txt,other,No categories met the 3-mention threshold.
1952-12-16_166420547_1_page0.txt,other,No categories met the 3-mention threshold.
1952-12-18_166421381_1_page0.txt,other,No categories met the 3-mention threshold.
1953-03-05_166422217_1_page0.txt,other,No categories met the 3-mention threshold.
1952-09-23_166423398_1_page0.txt,other,No categories met the 3-mention threshold.
1952-12-12_166424560_1_page0.txt,other,No categories met the 3-mention threshold.
1952-11-20_166425113_1_page0.txt,other,No categories met the 3-mention threshold.
1952-10-28_166426455_1_page0.txt,LABOR,Contains 3 references to the Taft-Hartley Act.
1952-09-27_166427419_1_page0.txt,LABOR,Contains 4 references to collective bargaining, labor unions, and the AFL.
1953-01-06_166427540_1_page0.txt,other,No categories met the 3-mention threshold.
1952-11-19_166428813_1_page0.txt,other,No categories met the 3-mention threshold.
1952-12-06_166429623_1_page0.txt,other,No categories met the 3-mention threshold.
1952-10-18_166429923_1_page0.txt,other,No categories met the 3-mention threshold.
1952-10-14_166430128_1_page0.txt,other,No categories met the 3-mention threshold.
1952-09-13_166430466_1_page0.txt,other,No categories met the 3-mention threshold.
1952-10-02_166430853_1_page0.txt,other,No categories met the 3-mention threshold.
1952-10-17_166432879_1_page0.txt,other,No categories met the 3-mention threshold.
1953-02-25_166436304_1_page0.txt,other,No categories met the 3-mention threshold.
1952-12-30_166437217_1_page0.txt,other,No categories met the 3-mention threshold.
1953-01-03_166438345_1_page0.txt,other,No categories met the 3-mention threshold.
1952-10-11_166439195_1_page0.txt,other,No categories met the 3-mention threshold.
1952-12-13_166439458_1_page0.txt,LABOR,Contains 3 references to labor unions and the Durkin appointment.
1952-10-25_166440178_1_page0.txt,other,No categories met the 3-mention threshold.
1953-03-14_166440412_1_page0.txt,other,No categories met the 3-mention threshold.
1953-02-13_166442193_1_page0.txt,other,No categories met the 3-mention threshold.
1953-01-31_166443756_1_page0.txt,other,No categories met the 3-mention threshold.
1952-11-27_166446446_1_page0.txt,other,No categories met the 3-mention threshold.
1953-02-21_166446753_1_page0.txt,other,No categories met the 3-mention threshold.
1953-03-07_166447100_1_page0.txt,other,No categories met the 3-mention threshold.
1953-01-08_166447453_1_page0.txt,other,No categories met the 3-mention threshold.
1952-12-27_166448956_1_page0.txt,other,No categories met the 3-mention threshold.
1953-02-26_166449508_1_page0.txt,other,No categories met the 3-mention threshold.
1953-03-03_166449575_1_page0.txt,other,No categories met the 3-mention threshold.
1952-12-10_166450727_1_page0.txt,other,No categories met the 3-mention threshold.
1953-03-10_166451557_1_page0.txt,other,No categories met the 3-mention threshold.
1953-01-27_166452971_1_page0.txt,other,No categories met the 3-mention threshold.
1953-06-11_166453033_1_page0.txt,other,No categories met the 3-mention threshold.
1953-02-18_166453083_1_page0.txt,other,No categories met the 3-mention threshold.
