"","code","segment","coverage","date_bak","date","year"
"139","Economy\Privatization of government functions","There is no valid reason in morals or  
national policy why the 40-odd other  
states of the union should be taxed  
for the Northwest when there is avail-  
able plenty of private investors’ capital  
to bear a share. Industry will be  
drawn from the East and Midwest by  
the lure of subsidized Federal power. ",5.74,"1956-12-10_48_24",1956-12-10,1956
"140","Political analysis\Democratic Party politics","My neglect of the Democratic can-  
didate was not merely because of a  
feeling that he lacked what it took,  
but also because there have been  
two parties of opposition in this cam-  
paign—the Stevenson-Kefauver ",4.48,"1956-11-05_48_19",1956-11-05,1956
"141","Labor","There is more of Walter Reuther  
in the future of the Democratic Party  
than of any of the characters now re-  
garded as its official ornaments. For  
Reuther and his associates have what  
none of them have—neither senators  
nor governors nor local statesmen of  
importance: A powerful organization  
limited by no state lines, with ten-  
tacles over the nation, and flush with  
money and captive workers. ",8.56,"1956-11-05_48_19",1956-11-05,1956
"142","Political analysis\John F Kennedy","Kennedy",0.15,"1956-11-05_48_19",1956-11-05,1956
"143","Political analysis\Promote GOP unity and cause","There will be plenty of time after  
the election to discuss the necessity  
of reconstructing the Republican  
Party to provide a genuine alterna-  
tive to this new party. ",3.59,"1956-11-05_48_19",1956-11-05,1956
"144","Political analysis\Conservative Politics","My concern  
here, with only a few days before  
election, is to underline the extreme  
importance, despite the deadly opiate  
of confidence, of getting out the vote  
for conservative candidates for the  
House and Senate and for the State  
Legislatures. For every vote cast for  
them is not only another vote for the  
national ticket but an assist for candi-  
dates who are fighting an uneven  
contest with little organized support  
on their side. ",9.45,"1956-11-05_48_19",1956-11-05,1956
"145","Economy\Business","says that of all the is-  
sues with which he hopes to elevate  
Adlai Stevenson to the White House,  
“big business” is the most valuable. ",2.46,"1956-10-22_48_17",1956-10-22,1956
"146","Labor","The  
Finnegan-Butler plan leaves the job  
of capturing a Democratic Congress  
to the AFL-CIO Committee on Po-  
litical Education. No doubt, if COPE  
achieves that, the Democratic organ-  
ization will permit the political arms  
of unions to propose the program. ",4.71,"1956-10-22_48_17",1956-10-22,1956
"147","New Deal critique","t is clear that after this campaign,  
in which “big business” has been the  
major issue, the proposals in Congress  
will be designed to punish and de-  
stroy big business by measures mainly  
in the field of taxation. For the New  
Deal long ago established taxation as  
the chief means of achieving eco-  
nomic and social reform.  
‘REFORM’ ",6.12,"1956-10-22_48_17",1956-10-22,1956
"148","Political analysis\Dem criticism","tence from Daniel Webster, said:  
“The power to tax involves the power  
to destroy.” If under the leadership of  
COPE, victorious in the coming elec-  
tion, the Congress sets to work to  
make good on the reckless, irrespon-  
sible, vindictive attacks of Stevenson-  
Kefauver, the smalls as well as the  
bigs may well be destroyed. Higher  
costs, higher prices, paralysis of in-  
vestment and technological progress,  
bankruptcy, more mergers, and fewer  
jobs may well be the harvest. ",8.75,"1956-10-22_48_17",1956-10-22,1956
"149","Notable writing","ing from the total roll calls in the  
two Congresses items which were  
merely procedural and organizational  
and also others which were not in the  
President’s program, there were 675  
with which we are concerned in  
evaluating Republican loyalty to the  
President. On these, a majority of  
Republicans in both houses in both  
Congresses opposed the President in  
10 per cent of the cases. A majority of  
Democrats opposed the President in  
47 per cent of those cases.  ",7.83,"1956-09-10_48_11",1956-09-10,1956
"150","Political analysis\GOP Party politics","This record of loyalty is certainly °  
bright in contrast with the troubled  
relations between the President and  
his party in Congress in the second:  
Roosevelt term and in 81st and’ 82nd:  
Congresses in Truman’s years. ",3.68,"1956-09-10_48_11",1956-09-10,1956
"151","Political analysis\GOP Party politics","This strategy—very popular these  
days with people who, while paying  
lip service to the President, would at-  
tack the Republican Party—assumes  
that there is a fixed number of Demo-  
crats and Republicans, with a decisive  
minority of so-called independents.  
The conclusion that they would have  
us draw is that the only way a candi-  
date on the Republican ticket can win  
is to look so much and talk so much  
like a “liberal” Democrat that voters  
will switch sides and elect him.  
This concept I have called “the  
myth of a static electorate.” ",10.32,"1956-08-13_48_7",1956-08-13,1956
"152","Political analysis","xcept in describing a single elec-  
tion, it is absurd to talk about minority  
or majority parties. The size of a  
party’s vote is whatever zeal and hard  
work can make it. ",3.23,"1956-08-13_48_7",1956-08-13,1956
"153","Political analysis\Conservative Politics","The Senatorial ca-  
| reer of the redoubtable Warren  
G. Magnuson may be drawing to a  
close. He was an authentic product  
of New Dealism. He entered public  
life—and public jobs have occupied  
him almost continuously during his  
adult years—in the depth of the de-  
pression, served through various lo-  
cal jobs, was elected to the House  
of Representatives in the great  
Roosevelt sweep of 1936, and _ re-  
mained there until elevated to the  
Senate in 1944. These successive vic-  
tories were to a large degree because  
he was marching ideologically in the  
spirit of the great wave of welfarism  
that inundated this state, and in part  
because he has had weak opposition.  
Both of these advantages have van-  
ished. The state, now humming with  
prosperity, is turning to the right,  
and Magnuson’s opponent is a for-  
midable threat. ",14.85,"1956-07-30_48_5",1956-07-30,1956
"154","Political analysis\Democratic Party politics","The Senatorial ca-  
| reer of the redoubtable Warren  
G. Magnuson may be drawing to a  
close. He was an authentic product  
of New Dealism. He entered public  
life—and public jobs have occupied  
him almost continuously during his  
adult years—in the depth of the de-  
pression, served through various lo-  
cal jobs, was elected to the House  
of Representatives in the great  
Roosevelt sweep of 1936, and _ re-  
mained there until elevated to the  
Senate in 1944. These successive vic-  
tories were to a large degree because  
he was marching ideologically in the  
spirit of the great wave of welfarism  
that inundated this state, and in part  
because he has had weak opposition.  
Both of these advantages have van-  
ished. The state, now humming with  
prosperity, is turning to the right,  
and Magnuson’s opponent is a for-  
midable threat. ",14.85,"1956-07-30_48_5",1956-07-30,1956
"155","Political analysis\GOP Party politics","EMARKABLE GROWTH  
Gov. Arthur Langlie is, to say the  
least, outstanding among the nation’s  
Republican leaders. In the past eight  
years, during which I have had fre-  
quent contacts with him, he has grown  
in stature to a remarkable extent.",4.29,"1956-07-30_48_5",1956-07-30,1956
"156","Economy\Statism","His predecessor, the absurd  
Mon Wallgren, had permitted the  
itch for public handouts to reach an  
acute stage. Washington in those  
years was the nation’s outstanding  
example of state socialism operating  
under a republican form of govern-  
ment. What with pensions, socialized  
medicine, and other welfare items,  
during Langlie’s second term the  
state treasury was practically bank-  
rupt. ",7,"1956-07-30_48_5",1956-07-30,1956
"157","Political analysis\Conservative Politics","RIGHT PROSPECTS  
The drive of the state toward con-  
servatism is explained by an amazing  
growth in well-being. It is true that  
the present boom was_ probably  
initiated by great sums of Federal  
money flowing in for the great dams  
on the rivers, the aircraft industry,  
the atomic installations at Hanford,  
and the Navy Yard at Bremerton.  
But a growing population, a third of  
which has come in since the war, is  
enough in itself to generate a flourish-  
ing economy. Moreover, the imposi-  
tion of a high sales tax has relieved  
the financial difficulties of the state  
government. It would be foolish  
to predict the outcome of the  
Magnuson-Langlie contest, but it  
seems clear that the prospects for the  
Republican Party to pick up a much  
needed seat in the United States  
Senate are fairly bright. ",14.37,"1956-07-30_48_5",1956-07-30,1956
"158","Economy\Business","Big-Business Myths  
by Raymond Moley  
INCE big business will once more be  
) an issue this year, let us note the  
ripe—perhaps overripe—reflections on  
the subject by a major Democratic  
seer. For Joseph C. O'Mahoney has  
made a career of two ideas—the evils  
of bigness and the need for Federal  
incorporation. ",4.78,"1956-06-18_47_25",1956-06-18,1956
"159","Economy","t this point Senator Morse ex-  
pressed his fear “that the politics of  
oil has become bigger than American  
foreign policy.”  
NONSENSE  
This is more nonsense. The United  
States is interested in the oil of the  
Middle East because it does not want  
to have that strategic treasure fall into  
Communist hands and thus mortally  
endanger the Western nations who  
are dependent upon it.  ",5.91,"1956-06-18_47_25",1956-06-18,1956
"160","Communism","t this point Senator Morse ex-  
pressed his fear “that the politics of  
oil has become bigger than American  
foreign policy.”  
NONSENSE  
This is more nonsense. The United  
States is interested in the oil of the  
Middle East because it does not want  
to have that strategic treasure fall into  
Communist hands and thus mortally  
endanger the Western nations who  
are dependent upon it.  ",5.91,"1956-06-18_47_25",1956-06-18,1956
"161","Ad with Moley","",21.52,"1956-05-21_47_21",1956-05-21,1956
"162","Communism","",4.8,"1956-05-21_47_21",1956-05-21,1956
"163","Economy\Statism","n Aucust 1951 I presented in this  
I space my first article about the  
Hells Canyon controversy. I have  
commented on the subject from time  
to time since. Meanwhile, Congress  
ha; repeatedly refused to authorize  
the Federal dam proposed by pub-  
lic-power zealots; ",2.48,"1956-05-21_47_21",1956-05-21,1956
"164","Political analysis\Conservative Politics","I am foreclosed by the time and  
patience of readers from matching  
words and statistics with the torren-  
tial effusions of senators like Morse in  
the Congressional Record. For details  
I refer any inquiring reader to an  
analysis of the issue published by  
the American: Enterprise Association,  
1012 Fourteenth Street, N.W., Wash-  
ington 5, D.C. ",3.27,"1956-05-21_47_21",1956-05-21,1956
"165","Political analysis\Democratic Party politics","T was probably destined, when na-  
ture wove together the strands  
that became the personality of Adlai  
Stevenson, that “at some disputed  
barricade” his rendezvous would be  
not with glory but with bitter frus-  
tration. The tragedy which befell  
Stevenson in Minnesota was implicit  
in the nature of the man. ",5.65,"1956-04-02_47_14",1956-04-02,1956
"166","Economy\Statism","HE President, in his budget mes-  
ent last year, made a guarded  
reference to the possibility of permit-  
ting the Tennessee Valley Authority  
to issue its own revenue bonds in  
order to relieve the budget of annual  
and presumably to  
avoid the ceiling on the national debt.  
He said that the TVA should make  
certain studies of the subject. ",6.08,"1956-03-05_47_10",1956-03-05,1956
"167","Economy\fiscal conservatism","HESE bonds, incidentally, would be  
tax exempt, which would place a  
heavy handicap on private utilities  
seeking to sell their own taxable bonds  
in the same financial market.  
Senator Norris, the departed father  
of the TVA, would never have  
dreamed of such a future for his child.  ",5.05,"1956-03-05_47_10",1956-03-05,1956
"168","Political analysis\Conservative criticism"," THE President’s State of the Union  
message. separated by only a few  
sentences are two recommendations:  
“T shall urge authorization of a soil-  
bank program to alleviate the problem  
of diverted acres and an overextended  
agricultural plant...” and “TI strongly  
recommend that action be taken at  
this session on such wholly Federal  
projects as the Colorado River storage  
project and the Fryingpan-  
Arkansas project...”",7.71,"1956-02-06_47_6",1956-02-06,1956
"169","Economy\fiscal conservatism"," As it  
happened, the pressure for these proj-  
ects came from interested members of  
Congress and bureaucrats anxious to  
spend more and more tax dollars. The  
Congressional committees that con-  
sidered them are stacked with mem-  
bers from the beneficiary states. ",4.81,"1956-02-06_47_6",1956-02-06,1956
"170","Economy\Statism"," As it  
happened, the pressure for these proj-  
ects came from interested members of  
Congress and bureaucrats anxious to  
spend more and more tax dollars. The  
Congressional committees that con-  
sidered them are stacked with mem-  
bers from the beneficiary states. ",4.81,"1956-02-06_47_6",1956-02-06,1956
"171","Economy\fiscal conservatism","ere considered, none of the pres-  
ently proposed irrigation projects  
would stand scrutiny.  
That is exactly what I have been  
saying in this space for two years. ",2.96,"1956-02-06_47_6",1956-02-06,1956
"172","Communism","HE initial Communist thrust into  
South Korea was confronted by  
only a poorly trained constabulary  
force of South Koreans. The only  
other forces of the free world within  
thousands of miles were the American  
-occupation troops in Japan and some  
elements of the American Navy and  
Air Force. But fate decreed that  
there was available a military genius  
whose peer has not been  
seen in our time. The test  
which faced MacArthur  
was twofold. ",8.07,"1956-01-30_47_5",1956-01-30,1956
"173","Communism","MERICANS might well recall, in this  
A critical phase of the struggle with  
the Communist world, that the basis  
of their common interest with the  
other non-Communist nations is a be-  
lief in the law of nations based in  
large part upon natural law, which is  
utterly denied by the Marxist creed. ",2.07,"1954-12-27_44_26",1954-12-27,1954
"174","Religion","The essence of the law,  
Coke said, was “written  
with the hand of God in the  
heart of man.” The law of  
nature “is that which God  
at the time of creation of  
the nature of man infused into his  
heart for his preservation and direc-  
tion; and this is the eternal law,  
the moral law.” ",2,"1954-12-27_44_26",1954-12-27,1954
"175","Political analysis\Democratic Party politics","TH the election of 1954 tucked  
Wy weer in history, there begins a  
brisk race for the Democratic Presi-  
dential nomination. There will be no  
announcements for a while, because  
there is a political conviction that it is  
bad to start an open hunt for votes too  
soon. ",4.53,"1954-11-08_44_19",1954-11-08,1954
"176","Notable writing","While I do not want to offer savealt  
on the comfortless altar of prophecy,  
I feel that Stevenson, despite certain  
advantages, will not get the 1956  
nomination. ",2.73,"1954-11-08_44_19",1954-11-08,1954
"177","Communism","HE partnership between the Dem-  
ocratic and Liberal Party in New  
York is a blend of mauve and pink.  
In the last four Presidential elec-  
tions in New York State more Repub-  
lican than Democratic votes were  
cast. In two of those elections. F.D.  
Roosevelt, the Democratic candidate  
for President, carried the state. That  
was because he also received the vote  
of the American Labor  
Party in 1940 and the votes  
of the ALP and the Liberal  
Party in 1944.  
This will explain the anx-  
ious solicitation of Demo-  
cratic candidates in state  
elections for the support of  
splinter parties—for which  
they pay a heavy price.  
The Liberal Party is an  
offshoot of the American  
Labor Party. It seems that after the  
great U.S.-Soviet era of friendship  
before and during the early stages of  
the second world war, some of the  
people in the ALP became convinced  
that Communists were too influential  
in that party, and so they withdrew  
and formed the Liberal Party",15.6,"1954-10-25_44_17",1954-10-25,1954
"178","Political analysis\Democratic Party politics","HE partnership between the Dem-  
ocratic and Liberal Party in New  
York is a blend of mauve and pink.  
In the last four Presidential elec-  
tions in New York State more Repub-  
lican than Democratic votes were  
cast. In two of those elections. F.D.  
Roosevelt, the Democratic candidate  
for President, carried the state. That  
was because he also received the vote  
of the American Labor  
Party in 1940 and the votes  
of the ALP and the Liberal  
Party in 1944.  
This will explain the anx-  
ious solicitation of Demo-  
cratic candidates in state  
elections for the support of  
splinter parties—for which  
they pay a heavy price.  
The Liberal Party is an  
offshoot of the American  
Labor Party. It seems that after the  
great U.S.-Soviet era of friendship  
before and during the early stages of  
the second world war, some of the  
people in the ALP became convinced  
that Communists were too influential  
in that party, and so they withdrew  
and formed the Liberal Party",15.6,"1954-10-25_44_17",1954-10-25,1954
"179","Economy\fiscal conservatism","various discourses, critical in na-  
ture, on some of the vast reclamation  
and power projects before Congress.  
During the past five months I have  
devoted a number of pieces to two  
glaring examples of uneconomic  
spending proposals, the Fryingpan  
transmountain diversion in Colorado  
and the Upper Colorado  
storage project. The ulti-  
mate cost of these two  
alone, if built, would be  
well up in the billions. ",7.08,"1954-09-13_44_11",1954-09-13,1954
"180","Economy\government efficiency","various discourses, critical in na-  
ture, on some of the vast reclamation  
and power projects before Congress.  
During the past five months I have  
devoted a number of pieces to two  
glaring examples of uneconomic  
spending proposals, the Fryingpan  
transmountain diversion in Colorado  
and the Upper Colorado  
storage project. The ulti-  
mate cost of these two  
alone, if built, would be  
well up in the billions. ",7.08,"1954-09-13_44_11",1954-09-13,1954
"181","Economy\fiscal conservatism","The politicians who spend our  
money and seek to shape our destiny  
should be made to hear, over the  
clamors of regional minorities, the clear demands of the majority. For  
the taxpayers, the Lord help them,  
are the majority. ",3.87,"1954-09-13_44_11",1954-09-13,1954
"182","Economy\government efficiency","N THE course of a reading of the  
many, many pages of the TVA vs.  
Middle South-Southern phase of the  
Senate debate on the atomic-energy  
bill, a question presented itself to  
which the answer was immediately  
obvious. ",4.17,"1954-08-09_44_6",1954-08-09,1954
"183","Economy\Statism","N THE course of a reading of the  
many, many pages of the TVA vs.  
Middle South-Southern phase of the  
Senate debate on the atomic-energy  
bill, a question presented itself to  
which the answer was immediately  
obvious. ",4.17,"1954-08-09_44_6",1954-08-09,1954
"184","Political analysis","sion.  
No, we were witnessing a full-dress  
rehearsal of the coming political cam-  
paign. For as other issues such as an  
Eisenhower depression or a slip in  
foreign policy have disintegrated, and  
the “house divided against itself” has  
failed to fall, there remains for parti-  
sanship only the “power trust.” It is an  
antique, rusty weapon, but it makes a  
deafening noise. Partisans such as  
Humphrey, Lehman, Gore, Kerr, and  
the crafty Kefauver see at stake the  
immense prize of a return to power.  
Morse sees the gratification of venge-  
ance for which he has lusted ever  
since Candidate Eisenhower made  
common cause with Taft. ",12.16,"1954-08-09_44_6",1954-08-09,1954
"185","Political analysis\Conservative Politics","sion.  
No, we were witnessing a full-dress  
rehearsal of the coming political cam-  
paign. For as other issues such as an  
Eisenhower depression or a slip in  
foreign policy have disintegrated, and  
the “house divided against itself” has  
failed to fall, there remains for parti-  
sanship only the “power trust.” It is an  
antique, rusty weapon, but it makes a  
deafening noise. Partisans such as  
Humphrey, Lehman, Gore, Kerr, and  
the crafty Kefauver see at stake the  
immense prize of a return to power.  
Morse sees the gratification of venge-  
ance for which he has lusted ever  
since Candidate Eisenhower made  
common cause with Taft. ",12.16,"1954-08-09_44_6",1954-08-09,1954
"186","Political analysis\GOP Party politics","It is fortunate that as the country  
faces these momentous issues we  
have a President who believes in  
economic enterprise and local self-  
government, and that on such fun-  
damentals as this his party is more  
united than the opposition. ",4.57,"1954-08-09_44_6",1954-08-09,1954
"187","Notable writing","What Are Government Operations? ",0.53,"1954-07-05_44_1",1954-07-05,1954
"188","Economy\government efficiency","It is naive for Senator  
Flanders and others to ex-  
pect—if they do expect—  
that the Senate will take any action to  
remove a committee chairman in the  
course of a session of Congress. Such  
an action, senators of both parties  
believe, would mean parliamentary  
chaos and party irresponsibility. But  
the Senate itself caused this situation  
by creating a committee without  
clearly defined limits of authority. ",7.13,"1954-07-05_44_1",1954-07-05,1954
"189","Communism","McCarthy has done exactly what  
any resourceful and zealous chairman  
would do with such generalized pow-  
ers. ",1.91,"1954-07-05_44_1",1954-07-05,1954
"190","Economy\government efficiency","URING the past few weeks I have  
D attempted in this space to draw  
attention to a number of legislative  
proposals which, in the midst of the  
Donnybrook over who’s-the-biggest-  
liar-in-Washington, may well be  
rushed through under the pressure  
of special interests of the Federal  
bureaucracy and of members of Con-  
gress with an eye on elections. ",7.73,"1954-06-14_43_24",1954-06-14,1954
"191","Economy\government efficiency","Army Corps of Engineers and  
the Bureau of Reclamation, a third  
highly competitive agency. In the  
past, competition between the former  
two has been deplorable. ",3.56,"1954-06-14_43_24",1954-06-14,1954
"192","Economy\fiscal conservatism","reat and often-neglected issue of the times is the development of vast  
new irrigated areas for agriculture as  
part of power and water-control proj-  
ects. Billions of dollars have been and may in the future be poured into these projects. The money comes not only from taxpayers of the affected areas  
but, in greater amounts, from tax- payers elsewhere in the nation. Mr. Moley has conducted a detailed study of such projects and, in particular, the kind of bookkeeping they involve.",7.22,"1954-05-17_43_20",1954-05-17,1954
"193","Foreign Policy / War"," 1s well and good to say, as Presi-  
I dent Eisenhower did in his foreign-  
trade message, that a sound policy  
is “to obtain, in a manner that is  
consistent with our national security  
. .. the highest possible level of  
trade and the most efficient use of  
capital and resources.”  
The President also said that we  
should work ot reciprocal relations  
of trade with “our friends  
abroad.” But those who  
do most of the negotiating  
are members of the Statc  
Department bureaucracy  
whose former operations  
with “our friends abroad” ",9.86,"1954-04-19_43_16",1954-04-19,1954
"194","Economy\Business","ents Act was passed in  
1934; the major responsi- :  
bility of regulating foreign trade and  
of adjusting duties, imposts, and ex-  
cises was given to the State Depart-  
ment. This was because Secretary  
Hull was profoundly convinced that  
world peace would come _ through  
world trade. In any event, the lower-  
ing of trade barriers was about the  
only reason why he accepted the post  
that he held. The Commerce De-  
partment, at that time in the weak  
hands of Secretary Roper, was liter-  
ally pushed out of a field for which  
Herbert Hoover over a period of  
twelve years had admirably prepared  
it: Asa Tesult, trade relations have  
been mostly in the hands of people  
unfamiliar: with the realities of Ameri-  
can industry. ",13.5,"1954-04-19_43_16",1954-04-19,1954
"195","New Deal critique","ents Act was passed in  
1934; the major responsi- :  
bility of regulating foreign trade and  
of adjusting duties, imposts, and ex-  
cises was given to the State Depart-  
ment. This was because Secretary  
Hull was profoundly convinced that  
world peace would come _ through  
world trade. In any event, the lower-  
ing of trade barriers was about the  
only reason why he accepted the post  
that he held. The Commerce De-  
partment, at that time in the weak  
hands of Secretary Roper, was liter-  
ally pushed out of a field for which  
Herbert Hoover over a period of  
twelve years had admirably prepared  
it: Asa Tesult, trade relations have  
been mostly in the hands of people  
unfamiliar: with the realities of Ameri-  
can industry. ",13.5,"1954-04-19_43_16",1954-04-19,1954
"196","Notable writing","Food production was boosted by  
such things as DDT. The variety of  
plastic items produced for both the  
peace and war economies staggers the  
imagination. Union Carbide, du Pont,  
Eastman Kodak’s Chemical Division,  
and Monsanto all contributed greatly  
to atomic development. ",5.12,"1954-04-19_43_16",1954-04-19,1954
"197","Economy\Business","Food production was boosted by  
such things as DDT. The variety of  
plastic items produced for both the  
peace and war economies staggers the  
imagination. Union Carbide, du Pont,  
Eastman Kodak’s Chemical Division,  
and Monsanto all contributed greatly  
to atomic development. ",5.12,"1954-04-19_43_16",1954-04-19,1954
"198","Taxes","Messrs. Sam Rayburn and  
Jere Cooper on the air and  
other Democrats in the  
House debate have chosen  
to raise the grimy flag of  
class hatred. In the true tra-  
dition of H.S.T., it is “the  
rich against the poor.” The  
President can tear the disgui",4.7,"1954-03-29_43_13",1954-03-29,1954
"199","Economy\government efficiency","Henry Hazlitt in his article in this  
issue clearly makes the case that the  
taxing system has already become a  
class levy and that so much wealth  
has already “trickled down” that little  
is left in the upper brackets to carry  
the cost of government. I merely add  
that the Tax Foundation says that if  
all individual incomes above $10,000  
were to be confiscated by a tax of  
100 per cent, the additional revenue  
acquired would be only $4.7 billion.  
That would be enough to run the Fed-  
eral government something less than  
four weeks in the coming fiscal year.  
There is relatively little left up there. ",11.44,"1954-03-29_43_13",1954-03-29,1954
"200","Taxes","Henry Hazlitt in his article in this  
issue clearly makes the case that the  
taxing system has already become a  
class levy and that so much wealth  
has already “trickled down” that little  
is left in the upper brackets to carry  
the cost of government. I merely add  
that the Tax Foundation says that if  
all individual incomes above $10,000  
were to be confiscated by a tax of  
100 per cent, the additional revenue  
acquired would be only $4.7 billion.  
That would be enough to run the Fed-  
eral government something less than  
four weeks in the coming fiscal year.  
There is relatively little left up there. ",11.44,"1954-03-29_43_13",1954-03-29,1954
"201","Economy\fiscal conservatism","Here is where the President can  
draw the battle lines. A strong offense  
against the demagogues is in order  
and can prevail.  ",2.36,"1954-03-29_43_13",1954-03-29,1954
"202","Economy\government efficiency","HE most important part of the  
Bricker proposal is Section 3,  
which brings within the regulatory  
power of Congress the making of ex-  
ecutive agreements by more or less  
anonymous bureaucrats throughout  
the vast ramifications of the Foreign  
Service. Most of these agreements  
originate in international commissions  
and operate with little notice and no  
control by Congress. ",7.18,"1954-02-01_43_5",1954-02-01,1954
"203","Foreign Policy / War","HE most important part of the  
Bricker proposal is Section 3,  
which brings within the regulatory  
power of Congress the making of ex-  
ecutive agreements by more or less  
anonymous bureaucrats throughout  
the vast ramifications of the Foreign  
Service. Most of these agreements  
originate in international commissions  
and operate with little notice and no  
control by Congress. ",7.18,"1954-02-01_43_5",1954-02-01,1954
"204","Economy\government efficiency","This process of by-passing Congress  
stems from a deep-seated feeling by  
the bureaucratic elite that the public  
and its representatives are incapable  
of understanding the high ideals and  
fine thinking that prevail in interna-  
tional intercourse. Consider these no-  
table last words of the maestro of the  
elite, Dean Acheson, addressed to the  
Foreign Service Association a year  
ago: “Make no mistake, there is a real  
battle with Congress. There is a great  
lag in the education and information  
between: you who know the outside  
world and the great mass of the  
American people and _ their eiected  
representatives. A great lag between  
you who know the facts of life,” ete. ",12.96,"1954-02-01_43_5",1954-02-01,1954
"205","Economy\government efficiency","The Bricker Amendment—Il ",0.38,"1954-01-25_43_4",1954-01-25,1954
"206","Economy\government efficiency","The thousands of more or less  
anonymous men on this assembly line  
never see the President and Secre-  
tary of State and seldom see an Assist-  
ant Secretary but they do make the  
mass of daily decisions that constitute  
our foreign relations. The President  
and his Secretary of State can an-  
nounce policies and historical changes  
in policy. But the State De-  
partment elite can make,  
break, or sabotage them... ",6.54,"1954-01-25_43_4",1954-01-25,1954
"207","Foreign Policy / War","The thousands of more or less  
anonymous men on this assembly line  
never see the President and Secre-  
tary of State and seldom see an Assist-  
ant Secretary but they do make the  
mass of daily decisions that constitute  
our foreign relations. The President  
and his Secretary of State can an-  
nounce policies and historical changes  
in policy. But the State De-  
partment elite can make,  
break, or sabotage them... ",6.54,"1954-01-25_43_4",1954-01-25,1954
"208","Communism","The problem here is not the occa-  
sional Communist who gets into a stra-  
tegic point on this assembly line. The  
real danger is in (a) people who are  
committed to what they call “liberal-  
ism,” but what is really international  
socialization, and (b) just officehold-  
ers, barren of ideology but greedy  
for power. ",4.99,"1954-01-25_43_4",1954-01-25,1954
"209","Supreme Court","The scope of the Court in seizing  
the right to make policy is made wider  
by the peculiar nature of most of the  
New Deal laws. Most of them were  
hastily written, Whenever it became  
difficult to define powers, the habit was  
to throw wide discretion to the Execu-  
tive. This gave the President wide  
power to determine policy. Now these  
gaps may be filled in by the Supreme  
Court, in line with its own prejudices  
and predilections. ",7.48,"1946-12-09_28_24",1946-12-09,1946
"210","Labor","ated by the Supreme Court,  
The Smith-Connally Act  
is not only unclear on the question of }  
what constitutes a criminal conspiracy,  
but in the mind of John L. Lewis the act in its entirety is unconstitutional.  
Here again, his views may be sustained  
by the Supreme Court. These instances illust",5.09,"1946-12-09_28_24",1946-12-09,1946
"211","Political analysis","ot the least of the features of  
the late campaign was what happened  
to the massive institution of the Presi-  
dency. Organization Democrats far  
and near acted as if they were ashamed  
of their own President. His name was  
barely mentioned in speeches and  
campaign literature. With an eye to  
the Gallup polls, which indicated a  
drop in Mr. Truman’s popularity from  
a honeymoon percentage of  
87 per cent to an October brown of 32 per cent, they  
decided that he was to be  
written off as a loss. Repub-  
licans made the most of him  
as an issue. He was sur-  
rounded by Communists and  
bunglers, they said. He was  
weak and wobbly. Congress  
must seize the reins from his  
taltering hands.  
Upon the Re",13.17,"1946-11-11_28_20",1946-11-11,1946
"212","Notable Datelines","Sz. Lovis-Po",0.22,"1946-09-16_28_12",1946-09-16,1946
"213","Political analysis\Truman","litical people here  
tell you that President Truman’s per-  
sonal prestige is at stake in Missouri.  
So is Hannegan’s. And so the Presi- dent and the Postmaster General are preparing to shoot the works out here  
this fall to elect a senator and a good  
majority of congressmen.  
Wise newspapermen in Mi",5.63,"1946-09-16_28_12",1946-09-16,1946
"214","Political analysis\Dem criticism","Hannegan, former Democratic  
leader in St. Louis, was never an out- standing success as a local boss. De-  
spite all the prestige of his member- ) ship in the Cabinet and his party  
§ chairmanship, he is still no name to  
conjure with in his home town where, as late as last year, the Republican  
candidate for mayor won a resounding  
victory. Roosevelt-Truman carried the city in 1944 by more than 60,000.  
But there will be no such sweep this  
year, The St. Louis Democratic organi-  
zation is rickety, and Hannegan can  
do little to restore it. ",10.2,"1946-09-16_28_12",1946-09-16,1946
"215","Civil Rights","Negro",0.09,"1946-09-16_28_12",1946-09-16,1946
"216","Notable Datelines","Ponrtianp—F",0.2,"1946-08-19_28_8",1946-08-19,1946
"217","Political analysis","irsthand — observa-  
tions of the political conditions and  
trends in Idaho, Washington and Ore-  
gon emphasize factors which I noted  
last week. The enormous crop now  
just at the beginning of the harvest,  
together with almost full employment,  
induces a feeling of well-being that  
dulls people’s interest in politics. ",5.9,"1946-08-19_28_8",1946-08-19,1946
"218","Political analysis\Promote GOP unity and cause","Crowds at political meetings are  
small, the turnout at pri-  
maries below normal. Re- publicans now in office are  
fairly safe. A few Demo- crats are in trouble. Every- where the Democratic or-  
ganizations are in fairly bad  
shape except in cities where the CIO is very strong. The  
political cohesion created by  
the magic of Roosevelt's  
name and by Farley’s genius for management is slowly  
disintegrating. In many places Demo- cratic leadership has fallen into strange and incompetent hands. This, coupled  
with mutterings about corruption and  
high prices and the CIO, will be the  
real reasons if, as seems possible, Re-  
publicans gain and Democrats lose  
this fall. In the st",12.58,"1946-08-19_28_8",1946-08-19,1946
